Order	Model	Interval	Threshold	Precision	Recall	Auc	Auc >= 0.70
random	hk_1.0_p	300	0.5	0.592885375494071	0.6342857142857142	0.6342857142857142	NO
random	hk_1.0_p	300	0.6	0.592885375494071	0.6342857142857142	0.6342857142857142	NO
random	hk_1.0_p	300	0.7	0.5468085106382978	0.5628571428571428	0.5628571428571428	NO
random	hk_1.0_p	300	0.8	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_1.0_p	300	0.9	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
sorted	voter	395	0.05	0.43859649122807015	0.5	0.5	NO
sorted	voter	395	0.1	0.43859649122807015	0.5	0.5	NO
sorted	voter	395	0.2	0.43859649122807015	0.5	0.5	NO
sorted	voter	395	0.3	0.43859649122807015	0.5	0.5	NO
sorted	voter	395	0.4	0.43859649122807015	0.5	0.5	NO
sorted	voter	395	0.5	0.43859649122807015	0.5	0.5	NO
sorted	voter	395	0.6	0.43859649122807015	0.5	0.5	NO
